TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SYNE3;4,61;;-17,94;0,47;0,17;50,09;32,30;-9,25;5,13;10,08;4,94;0,45;1,66;2,17;-0,20;4,01;-2,60;-0,97;2,94;0,38;0,36;0,11;1,23;;1.624.641,05;9,90;-0,26;0,17;703.690.891,45
TAEE11;37,46;9,55;11,28;1,94;0,66;68,87;71,85;44,57;7,00;11,55;4,55;1,26;5,03;4,85;-0,85;2,71;17,20;5,89;10,64;0,34;0,66;0,13;19,43;12,03;54.579.037,91;19,31;3,32;-0,30;12.904.929.056,22
TAEE3;12,43;9,59;11,23;1,93;0,66;68,87;71,85;44,57;6,96;11,55;4,55;1,26;5,00;4,82;-0,84;2,71;17,20;5,89;10,64;0,34;0,66;0,13;19,43;12,03;1.360.246,09;6,44;1,11;-0,29;12.904.929.056,22
TAEE4;12,55;9,50;11,34;1,95;0,67;68,87;71,85;44,57;7,03;11,55;4,55;1,26;5,05;4,87;-0,85;2,71;17,20;5,89;10,64;0,34;0,66;0,13;19,43;12,03;2.632.866,32;6,44;1,11;-0,30;12.904.929.056,22
TASA3;15,35;9,09;8,40;1,75;0,90;38,11;17,69;11,80;5,60;6,64;1,04;0,33;0,99;3,99;-2,17;1,62;20,87;10,66;14,49;0,51;0,49;0,90;29,58;;320.974,32;8,75;1,83;-0,14;1.942.234.779,50
TASA4;15,33;9,10;8,39;1,75;0,89;38,11;17,69;11,80;5,60;6,64;1,04;0,33;0,99;3,98;-2,17;1,62;20,87;10,66;14,49;0,51;0,49;0,90;29,58;;5.136.404,23;8,75;1,83;-0,14;1.942.234.779,50
TCNO3;1,20;;-7,52;-8,40;0,03;;;;-6,81;-34,51;-28,98;;;-0,08;-0,04;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;;-0,14;-0,16;-0,28;6.451.072,50
TCNO4;0,85;;-5,33;-5,95;0,02;;;;-4,82;-34,51;-28,98;;;-0,06;-0,03;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;;-0,14;-0,16;-0,20;6.451.072,50
TCSA3;3,75;;16,71;0,47;0,18;13,97;8,98;4,08;7,59;22,50;14,91;0,92;0,68;0,52;-0,37;2,97;2,79;1,07;1,99;0,38;0,62;0,26;-5,08;;878.122,36;8,03;0,22;-0,14;276.072.112,50
TECN3;3,57;2,30;4,79;0,67;0,39;55,00;17,30;15,45;4,28;3,98;-0,30;-0,05;0,74;0,78;-1,12;4,30;13,89;8,11;11,06;0,58;0,42;0,52;0,65;;401.521,91;5,36;0,74;0,11;253.135.187,55
